"CountryCode";"CountryName";"Continent";"Region";"Population";"GovernmentForm";"HeadOfState";"Capital"
"AFG";"Afghanistan";"Asia";"Southern and Central Asia";22720000;"Islamic Emirate";"Mohammad Omar";1
"AGO";"Angola";"Africa";"Central Africa";12878000;"Republic";"JosÃ© Eduardo dos Santos";56
"AIA";"Anguilla";"North America";"Caribbean";8000;"Dependent Territory of the UK";"Elisabeth II";62
"ALB";"Albania";"Europe";"Southern Europe";3401200;"Republic";"Rexhep Mejdani";34
"AND";"Andorra";"Europe";"Southern Europe";78000;"Parliamentary Coprincipality";"";55
"ANT";"Netherlands Antilles";"North America";"Caribbean";217000;"Nonmetropolitan Territory of The Netherlands";"Beatrix";33
"ARE";"United Arab Emirates";"Asia";"Middle East";2441000;"Emirate Federation";"Zayid bin Sultan al-Nahayan";65
"ARG";"Argentina";"South America";"South America";37032000;"Federal Republic";"Fernando de la RÃºa";69
"ARM";"Armenia";"Asia";"Middle East";3520000;"Republic";"Robert KotÂšarjan";126
"ASM";"American Samoa";"Oceania";"Polynesia";68000;"US Territory";"George W. Bush";54
"ATA";"Antarctica";"Antarctica";"Antarctica";0;"Co-administrated";"";0
"ATF";"French Southern territories";"Antarctica";"Antarctica";0;"Nonmetropolitan Territory of France";"Jacques Chirac";0
"ATG";"Antigua and Barbuda";"North America";"Caribbean";68000;"Constitutional Monarchy";"Elisabeth II";63
"AUS";"Australia";"Oceania";"Australia and New Zealand";18886000;"Constitutional Monarchy, Federation";"Elisabeth II";135
"AUT";"Austria";"Europe";"Western Europe";8091800;"Federal Republic";"Thomas Klestil";1523
"AZE";"Azerbaijan";"Asia";"Middle East";7734000;"Federal Republic";"HeydÃ¤r Ã„liyev";144
"BDI";"Burundi";"Africa";"Eastern Africa";6695000;"Republic";"Pierre Buyoya";552
"BEL";"Belgium";"Europe";"Western Europe";10239000;"Constitutional Monarchy, Federation";"Albert II";179
"BEN";"Benin";"Africa";"Western Africa";6097000;"Republic";"Mathieu KÃ©rÃ©kou";187
"BFA";"Burkina Faso";"Africa";"Western Africa";11937000;"Republic";"Blaise CompaorÃ©";549
"BGD";"Bangladesh";"Asia";"Southern and Central Asia";129155000;"Republic";"Shahabuddin Ahmad";150
"BGR";"Bulgaria";"Europe";"Eastern Europe";8190900;"Republic";"Petar Stojanov";539
"BHR";"Bahrain";"Asia";"Middle East";617000;"Monarchy (Emirate)";"Hamad ibn Isa al-Khalifa";149
"BHS";"Bahamas";"North America";"Caribbean";307000;"Constitutional Monarchy";"Elisabeth II";148
"BIH";"Bosnia and Herzegovina";"Europe";"Southern Europe";3972000;"Federal Republic";"Ante Jelavic";201
"BLR";"Belarus";"Europe";"Eastern Europe";10236000;"Republic";"Aljaksandr LukaÂšenka";3520
"BLZ";"Belize";"North America";"Central America";241000;"Constitutional Monarchy";"Elisabeth II";185
"BMU";"Bermuda";"North America";"North America";65000;"Dependent Territory of the UK";"Elisabeth II";191
"BOL";"Bolivia";"South America";"South America";8329000;"Republic";"Hugo BÃ¡nzer SuÃ¡rez";194
"BRA";"Brazil";"South America";"South America";170115000;"Federal Republic";"Fernando Henrique Cardoso";211
"BRB";"Barbados";"North America";"Caribbean";270000;"Constitutional Monarchy";"Elisabeth II";174
"BRN";"Brunei";"Asia";"Southeast Asia";328000;"Monarchy (Sultanate)";"Haji Hassan al-Bolkiah";538
"BTN";"Bhutan";"Asia";"Southern and Central Asia";2124000;"Monarchy";"Jigme Singye Wangchuk";192
"BVT";"Bouvet Island";"Antarctica";"Antarctica";0;"Dependent Territory of Norway";"Harald V";0
"BWA";"Botswana";"Africa";"Southern Africa";1622000;"Republic";"Festus G. Mogae";204
"CAF";"Central African Republic";"Africa";"Central Africa";3615000;"Republic";"Ange-FÃ©lix PatassÃ©";1889
"CAN";"Canada";"North America";"North America";31147000;"Constitutional Monarchy, Federation";"Elisabeth II";1822
"CCK";"Cocos (Keeling) Islands";"Oceania";"Australia and New Zealand";600;"Territory of Australia";"Elisabeth II";2317
"CHE";"Switzerland";"Europe";"Western Europe";7160400;"Federation";"Adolf Ogi";3248
"CHL";"Chile";"South America";"South America";15211000;"Republic";"Ricardo Lagos Escobar";554
"CHN";"China";"Asia";"Eastern Asia";1277558000;"People'sRepublic";"Jiang Zemin";1891
"CIV";"CÃ´te dÂ’Ivoire";"Africa";"Western Africa";14786000;"Republic";"Laurent Gbagbo";2814
"CMR";"Cameroon";"Africa";"Central Africa";15085000;"Republic";"Paul Biya";1804
"COD";"Congo, The Democratic Republic of the";"Africa";"Central Africa";51654000;"Republic";"Joseph Kabila";2298
"COG";"Congo";"Africa";"Central Africa";2943000;"Republic";"Denis Sassou-Nguesso";2296
"COK";"Cook Islands";"Oceania";"Polynesia";20000;"Nonmetropolitan Territory of New Zealand";"Elisabeth II";583
"COL";"Colombia";"South America";"South America";42321000;"Republic";"AndrÃ©s Pastrana Arango";2257
"COM";"Comoros";"Africa";"Eastern Africa";578000;"Republic";"Azali Assoumani";2295
"CPV";"Cape Verde";"Africa";"Western Africa";428000;"Republic";"AntÃ³nio Mascarenhas Monteiro";1859
"CRI";"Costa Rica";"North America";"Central America";4023000;"Republic";"Miguel Ãngel RodrÃ­guez EcheverrÃ­a";584
"CUB";"Cuba";"North America";"Caribbean";11201000;"Socialistic Republic";"Fidel Castro Ruz";2413
"CXR";"Christmas Island";"Oceania";"Australia and New Zealand";2500;"Territory of Australia";"Elisabeth II";1791
"CYM";"Cayman Islands";"North America";"Caribbean";38000;"Dependent Territory of the UK";"Elisabeth II";553
"CYP";"Cyprus";"Asia";"Middle East";754700;"Republic";"Glafkos Klerides";2430
"CZE";"Czech Republic";"Europe";"Eastern Europe";10278100;"Republic";"VÃ¡clav Havel";3339
"DEU";"Germany";"Europe";"Western Europe";82164700;"Federal Republic";"Johannes Rau";3068
"DJI";"Djibouti";"Africa";"Eastern Africa";638000;"Republic";"Ismail Omar Guelleh";585
"DMA";"Dominica";"North America";"Caribbean";71000;"Republic";"Vernon Shaw";586
"DNK";"Denmark";"Europe";"Nordic Countries";5330000;"Constitutional Monarchy";"Margrethe II";3315
"DOM";"Dominican Republic";"North America";"Caribbean";8495000;"Republic";"HipÃ³lito MejÃ­a DomÃ­nguez";587
"DZA";"Algeria";"Africa";"Northern Africa";31471000;"Republic";"Abdelaziz Bouteflika";35
